Month,Custumer Name,Customer Group,Product,City,Sales_amt,Standard_Cost,Metal_Cost,Taxes,FreightUnrecovered,Metal_weight_CU
 4/1/2018 ,"- STEINER ELECTRIC CO., INC.",Medium,CST, Louisville, 825.94 , 395.88 , 133.00 , 26.51 , 4.59 , 42.83 
 2/1/2018 ,- STATE ELECTRIC SUPPLY CO INC,Large,CST, Memphis," 4,006.98 "," 2,059.72 "," 1,292.07 ", 171.10 , 144.60 , 416.07 
 2/1/2017 ,- STANION WHOLESALE ELECTRIC,small,CST, Pittsburgh, 594.96 , 239.12 , 169.12 , 31.59 , -   , 54.46 
 6/1/2017 ,- MARSHALL E CAMPBELL CO INC,Medium,CST, Memphis," 3,411.70 "," 1,969.18 "," 1,248.48 ", 117.36 , 62.12 , 402.04 
 1/1/2017 ,- KENDALL ELECTRIC INC,Large,CST, Oceanside," 7,104.14 "," 4,154.19 "," 2,293.64 ", 297.66 , 88.66 , 738.60 
 6/1/2017 ,- FROMM ELECTRIC SUPPLY CORP,Medium,CST, Savannah," 1,670.98 ", 736.17 , 500.90 , 60.32 , 24.90 , 161.30 
 4/1/2018 ,- CITY ELECTRIC COMPANY INC,Medium,CST, Fort Worth," 1,245.44 ", 709.84 , 439.02 , 39.60 , (35.34), 141.37 
 3/1/2017 ,WESCO DISTRIBUTION,Large,CST, Elizabeth, 524.88 , 366.69 , 263.38 , 24.51 , -   , 86.07 
 5/1/2018 ,WESCO DISTRIBUTION,Large,CST, Columbia, 326.80 , 154.06 , 103.29 , 15.92 , -   , 33.76 
 2/1/2018 ,* WHOLESALE ELECTRIC,Large,CST, Vancouver, 678.20 , 371.00 , 227.73 , 26.79 , 18.61 , 74.42 
 5/1/2017 ,* THE HITE COMPANY,Medium,CST, El Monte," 3,156.60 "," 1,453.69 ", 893.15 , 146.78 , 58.10 , 291.89 
 3/1/2018 ,"~ VALLEN DISTRIBUTION, INC",Medium,CST, Portland," 1,218.48 ", 517.00 , 336.09 , 67.99 , 26.01 , 108.23 
 4/1/2017 ,"~ VALLEN DISTRIBUTION, INC",Medium,CST, Concord," 1,014.52 ", 416.23 , 274.76 , 38.04 , 89.95 , 88.48 
 5/1/2018 ,"~ VALLEN DISTRIBUTION, INC",Medium,CST, Columbia, 90.96 , 32.48 , 23.42 , 5.24 , -   , 7.54 
 3/1/2018 ,~ COOPER FRIEDMAN ELECTRIC SUP,Medium,CST, Escondido," 26,921.00 "," 12,890.05 "," 8,540.45 "," 1,176.45 ", 250.35 ," 2,750.19 "
 1/1/2017 ,~ CAPITAL LIGHTING & SUPPLY,Medium,CST, Raleigh," 2,378.50 "," 1,194.46 ", 530.34 , 155.32 , 29.08 , 170.78 
 6/1/2017 ,REXEL INC,Large,CST, Fayetteville, 533.64 , 210.96 , 103.65 , 18.09 , -   , 33.38 
 5/1/2018 ,* HARRY COOPER SUPPLY,Medium,CST, Paradise, 411.12 , 241.64 , 150.51 , 18.29 , 15.50 , 49.19 
 2/1/2018 ,* CRESCENT ELECTRIC SUPPLY,Large,CST, Fontana, 633.12 , 208.81 , 112.40 , 26.40 , -   , 36.73 
 5/1/2018 ,* CRESCENT ELECTRIC SUPPLY,Large,CST, Augusta-Richmond County, 71.75 , 28.10 , 16.21 , 4.12 , 4.72 , 5.30 
 5/1/2017 ,# EDWARDS SUPPLY CO INC  #9990,Medium,CST, Hialeah, 810.52 , 328.11 , 225.11 , 25.13 , -   , 73.57 
 5/1/2017 ,HUBBARD INDUSTRIAL SUPPLY,Medium,CST, Jacksonville, 358.13 , 127.22 , 92.42 , 16.55 , -   , 30.20 
 5/1/2018 ,GRAYBAR ELECTRIC COMPANY,Large,CST, Phoenix," 4,997.32 "," 3,209.87 "," 2,007.96 ", 262.86 , 47.98 , 646.60 
 1/1/2017 ,GRAYBAR ELECTRIC COMPANY,Large,CST, Nashville-Davidson, 244.56 , 169.12 , 46.23 , 11.10 , 1.43 , 14.89 
 5/1/2018 ,GRAYBAR ELECTRIC COMPANY,Large,CST, Milwaukee, 501.84 , 322.63 , 203.17 , 32.07 , 19.50 , 65.43 
 3/1/2017 ,GENERAL SUPPLY AND SERVICES,Large,CST, Corona," 3,577.12 "," 2,149.33 "," 1,445.65 ", 119.83 , 258.80 , 465.53 
 4/1/2018 ,GRAYBAR ELECTRIC COMPANY,Large,CST, Fresno," 3,008.26 "," 1,483.35 ", 893.24 , 129.05 , 38.09 , 287.64 
 5/1/2018 ,GRAYBAR ELECTRIC COMPANY,Large,CST, Stockton," 9,253.62 "," 5,864.70 "," 3,837.99 ", 355.34 , 105.63 ," 1,235.91 "
 2/1/2018 ,GRAYBAR ELECTRIC COMPANY,Large,CST, Tallahassee, 231.36 , 129.92 , 93.67 , 13.42 , -   , 30.16 
 5/1/2018 ,GRAYBAR ELECTRIC COMPANY,Large,CST, Providence, 331.00 , 181.14 , 106.38 , 16.98 , 4.79 , 34.26 
 5/1/2017 ,WESCO DISTRIBUTION,Large,CST, Chula Vista, 446.76 , 197.74 , 137.07 , 26.14 , -   , 44.14 
 4/1/2018 ,* WYANDOTTE ELECTRIC SUPPLY CO,small,CST, Oklahoma City, 78.96 , 33.03 , 19.58 , 3.99 , 1.54 , 6.30 
 4/1/2018 ,* THE HITE COMPANY,Medium,CST, Washington," 1,778.42 ", 726.47 , 493.53 , 69.18 , 34.97 , 158.92 
 4/1/2018 ,* SPRINGFIELD ELECTRIC SUPPLY,Large,CST, Bakersfield, 122.52 , 53.75 , 28.48 , 6.71 , 1.09 , 9.17 
 1/1/2018 ,* CRESCENT ELECTRIC SUPPLY,Large,CST, Sterling Heights, 145.26 , 61.04 , 28.59 , 7.31 , -   , 9.21 
 4/1/2018 ,* ALAMEDA ELECTRICAL DIST INC,Medium,CST, Pittsburgh, 676.20 , 376.25 , 229.98 , 34.62 , 10.84 , 74.06 
 6/1/2018 ,CED-CONSOLIDATED ELEC DIST,Large,CST, Moreno Valley," 1,250.02 ", 730.20 , 433.50 , 72.50 , (35.73), 139.59 
 5/1/2018 ,"KGP TELECOMMUNICATIONS, INC",Large,CST, Fullerton, 63.00 , 31.23 , 22.51 , 3.74 , -   , 7.36 
 4/1/2017 ,CERESKE ELECTRIC CABLE CO,small,CST, Albuquerque, 286.24 , 128.16 , 81.34 , 15.57 , -   , 26.19 
 2/1/2017 ,"KGP TELECOMMUNICATIONS, INC",Large,CST, Tampa, 63.00 , 30.90 , 22.85 , 2.89 , -   , 7.36 
 5/1/2017 ,EASTERN ELECTRIC SUPPLY,small,CST, Seattle, 278.28 , 128.01 , 91.38 , 17.42 , 9.72 , 29.43 
 3/1/2017 ,"~ VALLEN DISTRIBUTION, INC",Medium,CST, Sacramento, 516.48 , 214.83 , 128.19 , 15.91 , -   , 41.28 
 2/1/2017 ,"~ VALLEN DISTRIBUTION, INC",Medium,CST, Dayton," 3,014.68 "," 1,318.81 ", 803.10 , 103.10 , 131.89 , 262.46 
 4/1/2018 ,"~ VALLEN DISTRIBUTION, INC",Medium,CST, San Antonio," 1,151.04 ", 455.19 , 299.96 , 48.69 , 89.95 , 98.03 
 5/1/2017 ,CED-CONSOLIDATED ELEC DIST,Large,CST, Springfield, 915.42 , 478.62 , 286.09 , 29.57 , 79.35 , 92.13 
 2/1/2017 ,CED-CONSOLIDATED ELEC DIST,Large,CST, Bridgeport," 1,633.80 "," 1,031.32 ", 658.50 , 51.30 , 89.60 , 212.05 
 5/1/2018 ,"~ VALLEN DISTRIBUTION, INC",Medium,CST, Concord, 97.92 , 64.00 , 45.69 , 3.67 , 12.34 , 14.71 
 3/1/2018 ,"~ VALLEN DISTRIBUTION, INC",Medium,CST, Richmond, 194.76 , 92.84 , 68.54 , 7.71 , -   , 22.07 
 2/1/2017 ,REXEL INC,Large,CST, Miami, 343.20 , 162.40 , 117.09 , 20.42 , 9.03 , 37.70 
 5/1/2018 ,~ NORTHEAST ELECTRICAL DISTRS,Medium,CST, Nashville-Davidson," 3,304.44 "," 1,629.52 "," 1,056.86 ", 231.31 , 50.79 , 345.39 
 4/1/2018 ,~ COOPER FRIEDMAN ELECTRIC SUP,Medium,CST, Mobile," 12,789.46 "," 5,853.33 "," 3,464.75 ", 812.13 , 104.92 ," 1,132.31 "
 2/1/2018 ,REXEL INC,Large,CST, Pomona," 1,588.88 ", 676.29 , 361.28 , 50.53 , -   , 118.07 
 3/1/2018 ,NORTHERN SAFETY COMPANY INC,small,CST, Mobile, 255.06 , 65.45 , 28.10 , 10.66 , -   , 9.18 
 2/1/2018 ,WIREXPRESS,small,CST, Aurora, 946.50 , 352.21 , 46.43 , 30.76 , -   , 14.95 
 2/1/2018 ,- THE REYNOLDS COMPANY,Medium,CST, San Francisco, 330.72 , 166.58 , 124.89 , 19.84 , -   , 40.22 
 5/1/2017 ,"MANUEL FREIJE ARCE, INC.",Large,CST, Memphis," 105,658.64 "," 65,469.86 "," 45,861.65 "," 5,959.15 ", -   ," 14,987.96 "
 6/1/2018 ,- NORTH COAST ELECTRIC,Large,CST, Raleigh," 3,158.90 "," 1,366.14 ", 707.77 , 102.66 , 156.34 , 227.92 
 6/1/2018 ,NORTHERN SAFETY COMPANY INC,small,CST, Hayward, 307.44 , 78.72 , 31.57 , 19.65 , -   , 10.17 
 4/1/2017 ,HOUSTON WIRE & CABLE,Medium,CST, Sioux Falls, 274.00 , 126.48 , 45.53 , 12.22 , -   , 14.88 
 3/1/2018 ,- FAIRMONT SUPPLY,Large,CST, Nashville-Davidson, 677.76 , 279.36 , 187.34 , 20.60 , 19.49 , 60.33 
 5/1/2017 ,- DEALERS ELECTRICAL SUPPLY,small,CST, Anchorage, 528.00 , 259.83 , 187.34 , 27.14 , -   , 60.33 
 3/1/2018 ,VERIZON BUSINESS PURCHASING,small,CST, Chattanooga," 1,124.76 ", 399.07 , 292.64 , 41.84 , -   , 95.64 
 2/1/2018 ,GRAYBAR ELECTRIC COMPANY,Large,CST, Hollywood, 945.18 , 393.43 , 130.76 , 60.59 , 10.96 , 42.73 
 5/1/2017 ,- B & K ELECTRIC WHOLESALE,small,CST, Las Vegas, 113.26 , 57.06 , 22.50 , 6.08 , 4.93 , 7.24 
 2/1/2018 ,GENERAL SUPPLY AND SERVICES,Large,CST, Omaha," 2,792.02 "," 1,732.93 ", 600.62 , 115.87 , 42.05 , 196.29 
 5/1/2017 ,CED-CONSOLIDATED ELEC DIST,Large,CST, Vallejo, 502.70 , 316.68 , 225.11 , 24.78 , -   , 73.57 
 3/1/2017 ,CED-CONSOLIDATED ELEC DIST,Large,CST, Colorado Springs, 94.50 , 70.05 , 41.72 , 5.95 , -   , 13.64 
 5/1/2018 ,COMMUNICATIONS SUPPLY  1956,small,CST, Beaumont, 688.50 , 209.30 , 121.54 , 38.62 , -   , 39.72 
 1/1/2018 ,GRAYBAR ELECTRIC COMPANY,Large,CST, Chesapeake," 7,969.26 "," 5,120.60 "," 2,851.55 ", 501.27 , 323.36 , 918.26 
 3/1/2017 ,GRAYBAR ELECTRIC COMPANY,Large,CST, Las Vegas," 1,606.28 ", 921.46 , 630.72 , 103.77 , (7.46), 203.10 
 1/1/2018 ,- REVERE ELECTRIC SUPPLY CO.,small,CST, Hampton, 254.28 , 116.93 , 72.34 , 16.66 , -   , 23.29 
 5/1/2017 ,- KIRBY RISK SUPPLY,Medium,CST, Kansas City, 805.66 , 417.21 , 305.37 , 24.49 , 12.87 , 98.34 
 2/1/2018 ,GRAYBAR ELECTRIC COMPANY,Large,CST, Orlando, 91.72 , 66.29 , 45.69 , 5.39 , 5.09 , 14.71 
 5/1/2017 ,GENERAL SUPPLY AND SERVICES,Large,CST, Tucson, 167.04 , 81.56 , 51.53 , 8.47 , -   , 16.59 
 5/1/2018 ,DIGI-KEY CORP,Medium,CST, San Bernardino," 3,073.22 "," 1,094.21 ", 733.58 , 169.95 , 55.54 , 236.23 
 2/1/2017 ,CED-CONSOLIDATED ELEC DIST,Large,CST, Irving, 535.90 , 356.30 , 209.90 , 23.79 , -   , 67.59 
 2/1/2018 ,- WILLE ELECTRIC SUPPLY,Medium,CST, Salem, 388.00 , 263.66 , 182.77 , 22.66 , 7.48 , 58.85 
 5/1/2017 ,- FAIRMONT SUPPLY,Large,CST, Flint, 581.62 , 224.81 , 134.06 , 34.37 , 0.73 , 43.17 
 4/1/2018 ,- VAN METER INDUSTRIAL,small,CST, Saint Paul, 698.80 , 249.19 , 164.38 , 45.42 , 6.98 , 52.93 
 4/1/2018 ,- TURTLE & HUGHES INC,Large,CST, El Paso," 2,018.58 "," 1,166.54 ", 651.74 , 114.66 , 30.79 , 209.87 
 5/1/2018 ,- VAN METER INDUSTRIAL,small,CST, Mesquite, 767.92 , 278.93 , 198.80 , 53.06 , 6.97 , 64.97 
 1/1/2018 ,- KIRBY RISK SUPPLY,Medium,CST, Lansing, 823.00 , 474.16 , 91.12 , 36.62 , 3.91 , 29.78 
 6/1/2018 ,"- IAC, INC.",Medium,CST, El Paso," 1,763.00 "," 1,214.58 ", 791.93 , 62.23 , 61.25 , 258.81 
 5/1/2017 ,- FAIRMONT SUPPLY,Large,CST, Hialeah, 252.36 , 97.11 , 67.53 , 9.08 , -   , 22.07 
 4/1/2017 ,- BECKER ELECTRIC SUPPLY CO,small,CST, Fremont, 410.80 , 137.52 , 69.87 , 23.58 , 3.02 , 22.83 
 5/1/2017 ,- CRUM ELECTRIC SUPPLY CO,Medium,CST, Bakersfield, 422.46 , 257.53 , 159.83 , 28.26 , 39.00 , 51.47 
 4/1/2018 ,- HUNT ELECTRIC SUPPLY CO,small,CST, Glendale, 778.82 , 458.08 , 76.17 , 44.00 , 3.67 , 24.53 
 2/1/2017 ,- FAIRMONT SUPPLY,Large,CST, Yonkers, 433.32 , 189.40 , 137.07 , 16.86 , -   , 44.14 
 2/1/2017 ,- BILLOWS ELECTRIC SUPPLY CO,Large,CST, Norfolk," 8,728.02 "," 4,099.39 "," 2,504.30 ", 276.68 , 123.59 , 806.43 
 5/1/2018 ,- BECKER ELECTRIC SUPPLY CO,small,CST, Long Beach, 503.97 , 165.55 , 94.95 , 30.54 , 9.34 , 30.58 
 2/1/2017 ,A-Z INDUSTRIES INC,small,CST, Portland, 252.36 , 92.71 , 68.54 , 10.17 , -   , 22.07 
 6/1/2017 ,WESCO DISTRIBUTION,Large,CST, Hollywood, 217.08 , 123.95 , 65.85 , 7.92 , -   , 21.52 
 6/1/2018 ,WESCO DISTRIBUTION,Large,CST, Montgomery, 973.04 , 576.38 , 289.13 , 56.53 , 27.47 , 94.49 
 4/1/2018 ,WESCO DISTRIBUTION,Large,CST, Raleigh," 4,271.66 "," 2,652.57 "," 1,605.22 ", 140.54 , 151.37 , 524.60 
 6/1/2017 ,* WESTERN CAROLINA ELECTRICAL,Large,CST, Akron, 327.96 , 188.53 , 108.01 , 19.58 , 14.73 , 35.30 
 5/1/2018 ,WESCO DISTRIBUTION,Large,CST, Fontana, 350.00 , 119.89 , 8.67 , 23.87 , -   , 2.83 
 4/1/2017 ,WESCO DISTRIBUTION,Large,CST, Virginia Beach," 3,559.50 "," 1,562.82 ", 918.76 , 122.45 , -   , 306.12 
 5/1/2017 ,* WALTERS WHOLESALE ELECTRIC,Medium,CST, Concord, 659.28 , 361.63 , 264.96 , 25.38 , 10.44 , 88.28 
 2/1/2017 ,* SUMMIT ELECTRIC SUPPLY,Medium,CST, Raleigh, 947.96 , 507.62 , 363.00 , 64.84 , 31.83 , 120.95 
 4/1/2017 ,* STANDARD ELECTRIC COMPANY,Medium,CST, Jersey City, 836.00 , 327.18 , 132.12 , 42.39 , 10.29 , 44.02 
 4/1/2018 ,* SPRINGFIELD ELECTRIC SUPPLY,Large,CST, Honolulu, 712.00 , 298.83 , 125.21 , 46.21 , 7.85 , 41.72 
 6/1/2017 ,* SPRINGFIELD ELECTRIC SUPPLY,Large,CST, Fort Wayne, 201.64 , 89.47 , 66.24 , 10.04 , 2.53 , 22.07 
 3/1/2018 ,* NESCO INC,small,CST, Hollywood, 288.26 , 164.68 , 115.56 , 19.60 , 7.81 , 38.50 
 6/1/2017 ,* FRANKLIN ELECTRIC COMPANY,Medium,CST, Virginia Beach," 2,022.24 "," 1,001.28 ", 663.88 , 93.83 , (20.45), 221.20 
 1/1/2018 ,* DAVIS ELECTRICAL SUPPLY CO,small,CST, Moreno Valley," 1,421.26 ", 709.52 , 427.71 , 95.65 , 18.48 , 142.51 
 6/1/2018 ,* SPRINGFIELD ELECTRIC SUPPLY,Large,CST, Cleveland, 320.50 , 125.77 , 64.83 , 15.16 , 1.74 , 21.19 
 3/1/2017 ,"* DESCO, INC",small,CST, Hayward, 565.44 , 262.48 , 180.09 , 32.80 , 15.42 , 58.86 
 1/1/2018 ,# FALCETTI & CLARK ELECT #2685,small,CST, Dayton, 109.44 , 55.91 , 29.53 , 3.61 , -   , 9.84 
 1/1/2018 ,# DUNCAN ELECTRICAL SPLY #1375,Medium,CST, Vancouver," 2,086.98 ", 929.75 , 515.39 , 85.36 , 100.92 , 171.72 
 6/1/2017 ,# DOVER ELECTRIC SUPPLY  #1275,small,CST, Orlando, 350.40 , 193.90 , 132.48 , 18.33 , 3.31 , 44.14 
 3/1/2017 ,# AAA ELECTRICAL SUPPLY  #6910,Medium,CST, San Jose," 1,347.36 ", 642.91 , 304.17 , 71.54 , -   , 101.35 
 5/1/2018 ,* YUMA WINLECTRIC CO,small,CST, El Monte," 1,336.40 ", 564.30 , 359.12 , 87.53 , -   , 117.36 
 1/1/2017 ,* SPRINGFIELD ELECTRIC SUPPLY,Large,CST, Birmingham, 222.50 , 95.55 , 63.29 , 15.49 , 4.06 , 20.69 
 3/1/2017 ,* F D LAWRENCE * CINCINNATI,Medium,CST, Alexandria, 675.92 , 312.66 , 222.00 , 29.13 , 8.61 , 72.55 
 6/1/2017 ,* ALAMEDA ELECTRICAL DIST INC,Medium,CST, Newport News, 457.32 , 233.19 , 133.62 , 27.99 , 7.15 , 43.67 
 5/1/2018 ,# VINSON ELECTRIC SUPPLY #6270,small,CST, Spokane, 161.56 , 65.24 , 45.02 , 11.15 , 5.67 , 14.71 
 6/1/2018 ,# FRANK P MC CARTIN CO   #1460,small,CST, Columbus, 201.82 , 115.33 , 76.35 , 13.58 , 10.94 , 24.95 
 4/1/2018 ,# FENTON BROS ELECTRIC   #7670,Large,CST, Birmingham, 267.63 , 102.21 , 57.86 , 11.86 , 3.40 , 18.91 
 4/1/2018 ,# E D SUPPLY CO INC      #4130,Medium,CST, Cleveland, 619.34 , 274.20 , 117.23 , 21.31 , 6.33 , 38.31 
 6/1/2017 ,* CUSTOMER SERVICE ELECTRIC,small,CST, Garden Grove, 75.25 , 30.60 , 16.21 , 2.85 , -   , 5.30 
 2/1/2018 ,* CRESCENT ELECTRIC SUPPLY,Large,CST, Minneapolis, 231.18 , 107.09 , 58.71 , 11.37 , -   , 19.19 
 2/1/2018 ,* SPRINGFIELD ELECTRIC SUPPLY,Large,CST, Chicago, 314.10 , 128.71 , 85.40 , 21.55 , 4.53 , 27.91 
 3/1/2017 ,* NU-LITE ELECTRICAL WHLSRS,small,CST, Ontario, 187.95 , 140.88 , 70.35 , 12.33 , 13.02 , 22.99 
 4/1/2018 ,"~ VALLEN DISTRIBUTION, INC",Medium,CST, Memphis, 244.56 , 77.88 , 7.44 , 16.39 , -   , 2.43 
 4/1/2017 ,"~ VALLEN DISTRIBUTION, INC",Medium,CST, New Orleans," 1,681.08 ", 595.64 , 438.41 , 93.30 , -   , 143.28 
 6/1/2017 ,"~ VALLEN DISTRIBUTION, INC",Medium,CST, Pasadena, 286.28 , 122.86 , 71.99 , 18.04 , -   , 23.53 
 4/1/2017 ,REXEL INC,Large,CST, Baton Rouge, 480.48 , 250.01 , 161.52 , 33.59 , 34.77 , 52.79 
 6/1/2017 ,REXEL INC,Large,CST, Fort Worth," 1,219.50 ", 630.42 , 375.50 , 80.85 , 85.02 , 122.72 
 3/1/2018 ,* NESCO INC,small,CST, Phoenix, 326.26 , 195.53 , 120.57 , 17.19 , 10.34 , 39.40 
 5/1/2018 ,* FRANKLIN ELECTRIC COMPANY,Medium,CST, Rochester," 1,103.04 ", 553.22 , 369.19 , 75.12 , 30.69 , 120.65 
 3/1/2018 ,* EDGES ELECTRICAL GROUP LLC,Medium,CST, Springfield," 1,881.68 ", 783.31 , 438.05 , 129.27 , 86.87 , 143.16 
 1/1/2017 ,"~ VALLEN DISTRIBUTION, INC",Medium,CST, Naperville," 1,343.04 ", 565.50 , 362.15 , 69.70 , -   , 120.66 
 2/1/2017 ,"~ VALLEN DISTRIBUTION, INC",Medium,CST, Nashville-Davidson," 1,163.66 ", 644.54 , 431.09 , 56.67 , 49.77 , 140.88 
 4/1/2017 ,# KILOWATTS ELECTRIC SPLY 8150,small,CST, San Bernardino, 534.92 , 336.50 , 221.55 , 31.99 , 25.37 , 72.40 
 3/1/2017 ,# FALCETTI & CLARK ELECT #2685,small,CST, Raleigh, 74.52 , 25.62 , 6.02 , 4.24 , -   , 1.97 
 5/1/2018 ,# DOVER ELECTRIC SUPPLY  #1275,small,CST, Albuquerque, 627.36 , 251.80 , 148.93 , 21.89 , 4.52 , 48.67 
 5/1/2018 ,REXEL INC,Large,CST, Long Beach," 1,322.56 ", 503.85 , 292.42 , 79.22 , -   , 95.57 
 3/1/2017 ,GRAYBAR ELECTRIC COMPANY,Large,CST, Milwaukee, 856.54 , 471.77 , 331.07 , 28.52 , 4.02 , 108.20 
 6/1/2017 ,GENERAL SUPPLY AND SERVICES,Large,CST, Lakewood, 494.28 , 195.82 , 138.44 , 28.67 , -   , 45.24 
